# Semantic function/data names from a SECOND decompilation of SLUS_014.11
# (Unchiga's tree, shared 2026-08-30).  ANNOTATION ONLY -- nothing here is
# evidence and nothing in this repo is renamed to match it.
#
# Why it is a separate file and not a rename:  every tool, every PARKED.txt
# entry and every paragraph of WORKFLOW.md is keyed to the `func_%08X` /
# `D_%08X` form, and the address form is the one thing that cannot be wrong.
# These names are interpretation -- they were arrived at under a different
# toolchain by reading the same listings we read, and a name that is subtly
# wrong is worse than no name because it survives in comments long after the
# reading that produced it was corrected.  Treat a name here exactly the way
# docs/EXTERNAL_LEADS.txt says to treat a wiki guess: a hypothesis to check
# against a listing.
#
# What it is good for: reading a 170-instruction function faster.  Knowing a
# loop walks the fusion table before writing a line is worth real time, and
# that is the same argument the community RAM map earned its place on.
#
# REFRESHED 2026-08-31 from his tangos/work branch: 365 names added.
#
# addr        kind  canonical                their name
0x800404CC  func  func_800404CC     set_30_32_and_call_80040468
0x80040814  func  func_80040814     run_active_rec_chain
0x80040BF8  func  func_80040BF8     update_all_efe48_slots
0x8004143C  func  func_8004143C     accum_add_le16
0x80041464  func  func_80041464     accum_add_le16_xor_flag
0x800427DC  func  func_800427DC     reset_obj_and_set_5A_flag08
0x80042874  func  func_80042874     call_80040468_store54
0x800428A8  func  func_800428A8     call_800404CC_store54
0x800428EC  func  func_800428EC     sub_table_lookup_set_flag
0x80042918  func  func_80042918     sub_from_global_set_flag
0x8004293C  func  func_8004293C     sub_from_global_set_flag3
0x80042960  func  func_80042960     call_f24_check_flags_c0
0x800429A8  func  func_800429A8     read_le16
0x800429BC  func  func_800429BC     get_ptr_le16_offset
0x800429D8  func  func_800429D8     reset_obj_state
0x80042A00  func  func_80042A00     update_pos_frac_x
0x80042A28  func  func_80042A28     update_pos_frac_y
0x80042A50  func  func_80042A50     update_pos_frac
0x80042A78  func  func_80042A78     update_pos_frac_xy
0x80042AA4  func  func_80042AA4     update_pos_frac_xyz
0x80042B08  func  func_80042B08     clamp_approach_zero
0x80042B40  func  func_80042B40     find_active_rec_by_id
0x80042B98  func  func_80042B98     obj_flag80_test_and_set
0x80042BC0  func  func_80042BC0     decay_countdown_or_delete
0x80043178  func  func_80043178     save_prev_pos
0x8004318C  func  func_8004318C     lerp_position_toward_midpoint
0x80043E30  func  func_80043E30     init_memcard_and_pad
0x80043EBC  func  func_80043EBC     init_io_events
0x800440B4  func  func_800440B4     try_acquire_slot_536
0x80044608  func  func_80044608     memcard_save_clear_load_poll_dispatch
0x80044CFC  func  func_80044CFC     io_state_clear_cb
0x80044D0C  func  func_80044D0C     io_state_set1_cb
0x80044D20  func  func_80044D20     io_state_set2_cb
0x80044D34  func  func_80044D34     io_state_set3_cb
0x80044DA0  func  func_80044DA0     set_8009b45c_514_515
0x80044E90  func  func_80044E90     set_field514_515_range_flags
0x80044FE4  func  func_80044FE4     get_8009b45c_510
0x8004503C  func  func_8004503C     set_8009b45c_512_49
0x800451E0  func  func_800451E0     call_80045208_masked_128
0x8004544C  func  func_8004544C     clear_8009b45c_busy
0x8004545C  func  func_8004545C     arm_state_and_register_cb
0x80045484  func  func_80045484     entry_has_marker_byte
0x80046F58  func  func_80046F58     sound_shutdown_full
0x80047008  func  func_80047008     get_8009b45c_48
0x8004701C  func  func_8004701C     set_8009b45c_f4a_low_nibble
0x8004703C  func  func_8004703C     get_8009b45c_40
0x80047278  func  func_80047278     call_split_word_halves
0x80047314  func  func_80047314     call_8004733C_masked_flag
0x800473CC  func  func_800473CC     call_800473F0_neg32
0x80047430  func  func_80047430     call_set_1582_1584_masked
0x80047458  func  func_80047458     call_set_1582_1584_masked_b
0x80048A28  func  func_80048A28     combat_status_flag_dispatch
0x800490F0  func  func_800490F0     set_8009b45c_1582_1584
0x80049108  func  func_80049108     set_8009b45c_1582_1584_b
0x80049120  func  func_80049120     get_8009b45c_1582_nonzero
0x80049200  func  func_80049200     call_80049230_sign16
0x800492D8  func  func_800492D8     sound_init
0x80049434  func  func_80049434     reset_8009b458_idle_state
0x80049594  func  func_80049594     set_8009b458_81c
0x800495A4  func  func_800495A4     call_8004B9E0_if_flag814
0x800495DC  func  func_800495DC     clear_8009b458_815
0x800495EC  func  func_800495EC     set_8009b458_815
0x80049600  func  func_80049600     set_8009b458_510_validated
0x80049694  func  func_80049694     sound_shutdown
0x800498F8  func  func_800498F8     clear_8009b458_4A4_if_set
0x80049CB0  func  func_80049CB0     reset_slot_7E0_if_active
0x80049EC8  func  func_80049EC8     set_pos_masked_and_notify
0x80049F10  func  func_80049F10     set_pos_514_and_notify
0x8004A6D8  func  func_8004A6D8     call_8004A518_wrapper
0x8004B854  func  func_8004B854     guarded_start_stream_and_set_handle
0x8004BAA0  func  func_8004BAA0     byte_seq_compare_n
0x8004BAE4  func  func_8004BAE4     read_stream_byte
0x8004BCA8  func  func_8004BCA8     combine_two_8004BAE4_calls
0x8004BCE8  func  func_8004BCE8     setup_track_tempo_and_division
0x8004BE6C  func  func_8004BE6C     int_add_inplace
0x8004BE88  func  func_8004BE88     handle_seq_meta_event
0x8004C420  func  func_8004C420     midi_command_dispatch
0x8004CABC  func  func_8004CABC     check_records_flag_all_set
0x8004CB0C  func  func_8004CB0C     init_duelist_record_and_scan_hand
0x8004D914  func  func_8004D914     relink_ot_table_by_type_bucket
0x8004FE2C  func  func_8004FE2C     duel_action_resolution_dispatch
0x800507D0  func  func_800507D0     duel_phase_transition_dispatch
0x80052528  func  func_80052528     blend_camera_zoom_target
0x800533D8  func  func_800533D8     reset_gpu_state_and_flags
0x800559D4  func  func_800559D4     duel_state_debug_dispatch
0x800580D4  func  func_800580D4     build_obj_lwtransform_800f2c40
0x80058434  func  func_80058434     update_3d_position
0x80058DD8  func  func_80058DD8     get_D_800F2C40_slot_status
0x80058E3C  func  func_80058E3C     get_D_800F2C40_slot_field
0x80058E68  func  func_80058E68     get_D_800F2C40_slot_field_bf5
0x80058E94  func  func_80058E94     get_D_800F2C40_slot_field_e06
0x80058EC0  func  func_80058EC0     get_D_800F2C40_slot_bf5_indexed_u16
0x80058F10  func  func_80058F10     GsGetWorkBase
0x80058F20  func  func_80058F20     get_D_800F2C40_slot_entry_clamped
0x80058F74  func  func_80058F74     get_D_800F2C40_slot_entry
0x80058FB0  func  func_80058FB0     get_D_800F2C40_slot_u16_quad
0x800591C0  func  func_800591C0     get_D_800F39B0_slot_sub
0x80059284  func  func_80059284     set_D_800F2C40_slot_field
0x8005949C  func  func_8005949C     get_D_800F39F0_slot
0x80059590  func  func_80059590     set_D_800F2C40_slot_bytes
0x80059DD8  func  func_80059DD8     call_slot_handler_800fc1c_rows
0x8005A1F4  func  func_8005A1F4     dist_to_stored_pos
0x8005A8C4  func  func_8005A8C4     deck_capacity_check
0x8005B64C  func  func_8005B64C     select_reverb_preset
0x8005BFC8  func  func_8005BFC8     str_stream_wait_and_decode_frame
0x8005C388  func  func_8005C388     lookup_speed_and_start_read
0x8005D994  func  func_8005D994     setup_positional_sfx
0x80069E44  func  func_80069E44     gte_ot_insert_transformed_tris_flat
0x80069F94  func  func_80069F94     gte_ot_insert_transformed_tris_flat_3field
0x8006A3F0  func  func_8006A3F0     gte_ot_insert_transformed_tris_flat_r18
0x8006A540  func  func_8006A540     gte_ot_insert_transformed_tris_flat_3field_r1C
0x80073704  func  func_80073704     PCopen
0x80073724  func  func_80073724     PCclose
0x80073734  func  func_80073734     PClseek
0x80073818  func  func_80073818     _SN_read
0x80073830  func  func_80073830     InitHeap
0x80073840  func  func_80073840     _bu_init
0x80073850  func  func_80073850     SetMem
0x80073860  func  func_80073860     OpenEvent
0x80073870  func  func_80073870     CloseEvent
0x80073880  func  func_80073880     TestEvent
0x80073890  func  func_80073890     EnableEvent
0x800738A0  func  func_800738A0     DisableEvent
0x800738B0  func  func_800738B0     EnterCriticalSection
0x800738C0  func  func_800738C0     ExitCriticalSection
0x800738D0  func  func_800738D0     open
0x800738E0  func  func_800738E0     lseek
0x800738F0  func  func_800738F0     read
0x80073900  func  func_80073900     write
0x80073910  func  func_80073910     close
0x80073920  func  func_80073920     nextfile
0x80073930  func  func_80073930     Krom2RawAdd
0x80073940  func  func_80073940     ChangeClearPAD
0x80073950  func  func_80073950     SetRCnt
0x800739EC  func  func_800739EC     GetRCnt
0x80073A24  func  func_80073A24     StartRCnt
0x80073A54  func  func_80073A54     StopRCnt
0x80073A88  func  func_80073A88     ResetRCnt
0x80073AC0  func  func_80073AC0     firstfile
0x80073C5C  func  func_80073C5C     text_19C
0x80073D60  func  func_80073D60     firstfile2
0x80073D70  func  func_80073D70     SetInitPadFlag
0x80073D7C  func  func_80073D7C     ReadInitPadFlag
0x80073D8C  func  func_80073D8C     PAD_init
0x80073E1C  func  func_80073E1C     InitPAD
0x80073EAC  func  func_80073EAC     StartPAD
0x80073EDC  func  func_80073EDC     text_16C
0x80073F54  func  func_80073F54     text_1E4
0x80073FBC  func  func_80073FBC     text_24C
0x80074000  func  func_80074000     InitPAD2
0x80074010  func  func_80074010     StartPAD2
0x80074020  func  func_80074020     PAD_init2
0x80074030  func  func_80074030     SysEnqIntRP
0x80074040  func  func_80074040     SysDeqIntRP
0x80074050  func  func_80074050     EnablePAD
0x80074078  func  func_80074078     _patch_pad
0x80074100  func  func_80074100     _remove_ChgclrPAD
0x80074170  func  func_80074170     VSync
0x800742E8  func  func_800742E8     text_178
0x80074390  func  func_80074390     ResetCallback
0x800743C0  func  func_800743C0     InterruptCallback
0x800743F0  func  func_800743F0     DMACallback
0x80074420  func  func_80074420     VSyncCallback
0x80074454  func  func_80074454     VSyncCallbacks
0x80074484  func  func_80074484     StopCallback
0x800744B4  func  func_800744B4     RestartCallback
0x800744E4  func  func_800744E4     CheckCallback
0x800744F4  func  func_800744F4     GetIntrMask
0x8007450C  func  func_8007450C     SetIntrMask
0x80074524  func  func_80074524     text_194
0x800745FC  func  func_800745FC     text_26C
0x800747CC  func  func_800747CC     text_43C
0x80074914  func  func_80074914     text_584
0x800749B4  func  func_800749B4     text_624
0x80074A2C  func  func_80074A2C     text_69C
0x80074AA0  func  func_80074AA0     startIntrVSync
0x80074AF8  func  func_80074AF8     text_58
0x80074B64  func  func_80074B64     text_C4
0x80074B90  func  func_80074B90     text_F0
0x80074BC0  func  func_80074BC0     startIntrDMA
0x80074C0C  func  func_80074C0C     text_4C
0x80074D8C  func  func_80074D8C     text_1CC
0x80074E38  func  func_80074E38     text_278
0x80074E60  func  func_80074E60     SsUtReverbOff
0x80074E80  func  func_80074E80     _SpuInit
0x80074F68  func  func_80074F68     SpuStart
0x80074FE0  func  func_80074FE0     _spu_init
0x80075260  func  func_80075260     text_280
0x80075420  func  func_80075420     _spu_FiDMA
0x800754DC  func  func_800754DC     _spu_Fr_
0x80075584  func  func_80075584     _spu_t
0x80075804  func  func_80075804     _spu_Fw
0x80075888  func  func_80075888     _spu_Fr
0x800758EC  func  func_800758EC     _spu_FsetRXX
0x80075930  func  func_80075930     _spu_FsetRXXa
0x800759D4  func  func_800759D4     _spu_FgetRXXa
0x80075A10  func  func_80075A10     _spu_FsetPCR
0x80075A68  func  func_80075A68     text_A88
0x80075A90  func  func_80075A90     text_AB0
0x80075AB8  func  func_80075AB8     _spu_Fw1ts
0x80075B30  func  func_80075B30     _SpuDataCallback
0x80075B60  func  func_80075B60     SpuQuit
0x80075CB0  func  func_80075CB0     _SpuIsInAllocateArea
0x80075D30  func  func_80075D30     _SpuIsInAllocateArea_
0x80075DC0  func  func_80075DC0     SpuGetReverb
0x80075DE0  func  func_80075DE0     SpuSetReverbModeParam
0x800762C0  func  func_800762C0     _spu_setReverbAttr
0x80076790  func  func_80076790     SpuReserveReverbWorkArea
0x800767E0  func  func_800767E0     SpuIsReverbWorkAreaReserved
0x80076820  func  func_80076820     SpuSetReverbVoice
0x80076850  func  func_80076850     _SpuSetAnyVoice
0x80076B10  func  func_80076B10     SpuGetReverbVoice
0x80076B40  func  func_80076B40     _SpuGetAnyVoice
0x80076B70  func  func_80076B70     SpuClearReverbWorkArea
0x80076D20  func  func_80076D20     SpuReadDecodedData
0x80076D90  func  func_80076D90     SpuSetIRQ
0x80076ED0  func  func_80076ED0     SpuSetKey
0x80077090  func  func_80077090     SpuGetKeyStatus
0x80077120  func  func_80077120     SpuSetKeyOnWithAttr
0x80077150  func  func_80077150     SpuRead
0x800771B0  func  func_800771B0     SpuSetTransferStartAddr
0x80077210  func  func_80077210     SpuSetTransferMode
0x80077240  func  func_80077240     SpuIsTransferCompleted
0x800772F0  func  func_800772F0     SpuRGetAllKeysStatus
0x800773C4  func  func_800773C4     SpuGetAllKeysStatus
0x80077450  func  func_80077450     SpuSetVoiceAttr
0x8007758C  func  func_8007758C     text_13C
0x80077594  func  func_80077594     text_144
0x8007759C  func  func_8007759C     text_14C
0x800775A4  func  func_800775A4     text_154
0x800775AC  func  func_800775AC     text_15C
0x800775B4  func  func_800775B4     text_164
0x800775BC  func  func_800775BC     text_16C_800775BC
0x8007766C  func  func_8007766C     text_21C
0x80077674  func  func_80077674     text_224
0x8007767C  func  func_8007767C     text_22C
0x80077684  func  func_80077684     text_234
0x8007768C  func  func_8007768C     text_23C
0x80077694  func  func_80077694     text_244
0x8007769C  func  func_8007769C     text_24C_8007769C
0x80077A50  func  func_80077A50     _spu_note2pitch
0x80077B20  func  func_80077B20     _spu_pitch2note
0x80077C50  func  func_80077C50     SpuGetVoiceEnvelope
0x80077C70  func  func_80077C70     SpuSetCommonAttr
0x80077CC8  func  func_80077CC8     text_58_80077CC8
0x80077CD0  func  func_80077CD0     text_60
0x80077CD8  func  func_80077CD8     text_68
0x80077CE0  func  func_80077CE0     text_70
0x80077CE8  func  func_80077CE8     text_78
0x80077CF0  func  func_80077CF0     text_80
0x80077CF8  func  func_80077CF8     text_88
0x80077D00  func  func_80077D00     text_90
0x80077D88  func  func_80077D88     text_118
0x80077D90  func  func_80077D90     text_120
0x80077D98  func  func_80077D98     text_128
0x80077DA0  func  func_80077DA0     text_130
0x80077DA8  func  func_80077DA8     text_138
0x80077DB0  func  func_80077DB0     text_140
0x80077DB8  func  func_80077DB8     text_148
0x80077DC0  func  func_80077DC0     text_150
0x80077FF0  func  func_80077FF0     SpuSetReverbModeType
0x800781C0  func  func_800781C0     StSetRing
0x800781F0  func  func_800781F0     CdPosToInt
0x80078270  func  func_80078270     StClearRing
0x800782D0  func  func_800782D0     StUnSetRing
0x80078350  func  func_80078350     data_ready_callback
0x800783DC  func  func_800783DC     StGetBackloc
0x80078440  func  func_80078440     StSetStream
0x800784D0  func  func_800784D0     StFreeRing
0x80078580  func  func_80078580     init_ring_status
0x800785C0  func  func_800785C0     StGetNext
0x80078680  func  func_80078680     StSetMask
0x800786A0  func  func_800786A0     StCdInterrupt
0x80078FBC  func  func_80078FBC     text_91C
0x80078FE8  func  func_80078FE8     text_948
0x80079190  func  func_80079190     loc_0
0x800793F4  func  func_800793F4     text_264
0x800794F4  func  func_800794F4     text_364
0x80079540  func  func_80079540     text_3B0
0x800795C0  func  func_800795C0     text_430
0x80079640  func  func_80079640     text_4B0
0x800796F4  func  func_800796F4     CD_sync
0x80079974  func  func_80079974     CD_ready
0x80079C3C  func  func_80079C3C     CD_cw
0x8007A048  func  func_8007A048     CD_vol
0x8007A0D0  func  func_8007A0D0     CD_flush
0x8007A1A4  func  func_8007A1A4     CD_initvol
0x8007A294  func  func_8007A294     CD_initintr
0x8007A2E0  func  func_8007A2E0     CD_init
0x8007A4C0  func  func_8007A4C0     CD_datasync
0x8007A628  func  func_8007A628     CD_set_test_parmnum
0x8007A634  func  func_8007A634     text_14A4
0x8007A710  func  func_8007A710     CdIntToPos
0x8007A820  func  func_8007A820     atol
0x8007A840  func  func_8007A840     CdSetDebug
0x8007A860  func  func_8007A860     CdDataCallback
0x8007A890  func  func_8007A890     loc_0_8007A890
0x8007A8C0  func  func_8007A8C0     text_30
0x8007A9AC  func  func_8007A9AC     DS_CQ_flush
0x8007AA0C  func  func_8007AA0C     text_17C
0x8007AA94  func  func_8007AA94     text_204
0x8007AC84  func  func_8007AC84     text_3F4
0x8007ACF4  func  func_8007ACF4     text_464
0x8007AF18  func  func_8007AF18     text_688
0x8007AFA4  func  func_8007AFA4     DsInit
0x8007B0E8  func  func_8007B0E8     DsReset
0x8007B1F4  func  func_8007B1F4     DsCommand
0x8007B468  func  func_8007B468     DsPacket
0x8007B49C  func  func_8007B49C     _DsPacket2
0x8007B5A0  func  func_8007B5A0     text_D10
0x8007B6B0  func  func_8007B6B0     text_E20
0x8007B80C  func  func_8007B80C     text_F7C
0x8007B83C  func  func_8007B83C     DsSync
0x8007BA2C  func  func_8007BA2C     DsReady
0x8007BAC0  func  func_8007BAC0     DsQueueLen
0x8007BAD0  func  func_8007BAD0     text_1240
0x8007BB74  func  func_8007BB74     text_12E4
0x8007BC48  func  func_8007BC48     text_13B8
0x8007BC80  func  func_8007BC80     DS_init
0x8007BD20  func  func_8007BD20     DS_reset_members
0x8007BE00  func  func_8007BE00     DS_close
0x8007BE40  func  func_8007BE40     DS_cw
0x8007BEBC  func  func_8007BEBC     DS_vsync_callback
0x8007BEC8  func  func_8007BEC8     DS_sync_callback
0x8007BED4  func  func_8007BED4     DS_ready_callback
0x8007BEE0  func  func_8007BEE0     DS_start_callback
0x8007BEEC  func  func_8007BEEC     DS_system_status
0x8007BF04  func  func_8007BF04     DS_lastcom
0x8007BF14  func  func_8007BF14     DS_lastmode
0x8007BF24  func  func_8007BF24     DS_lastpos
0x8007BF30  func  func_8007BF30     DS_lastseek
0x8007BF40  func  func_8007BF40     DS_lastread
0x8007BF50  func  func_8007BF50     DS_status
0x8007BF60  func  func_8007BF60     DS_shell_open
0x8007BF70  func  func_8007BF70     DS_cw_system
0x8007BFB0  func  func_8007BFB0     text_330
0x8007C188  func  func_8007C188     text_508
0x8007C458  func  func_8007C458     text_7D8
0x8007C4E0  func  func_8007C4E0     text_860
0x8007C5F0  func  func_8007C5F0     text_970
0x8007C6E8  func  func_8007C6E8     text_A68
0x8007C710  func  func_8007C710     text_A90
0x8007C724  func  func_8007C724     text_AA4
0x8007C738  func  func_8007C738     text_AB8
0x8007C7D4  func  func_8007C7D4     text_B54
0x8007CA5C  func  func_8007CA5C     text_DDC
0x8007CB48  func  func_8007CB48     text_EC8
0x8007CBDC  func  func_8007CBDC     text_F5C
0x8007CC8C  func  func_8007CC8C     DS_stop
0x8007CD04  func  func_8007CD04     DS_restart
